id	ibge	localidade	valor	label
1	3500105	Adamantina	1739	População de 6 a 10 anos: 1.739
2	3500204	Adolfo	187	População de 6 a 10 anos: 187
3	3500303	Aguaí	2323	População de 6 a 10 anos: 2.323
4	3500402	Águas da Prata	405	População de 6 a 10 anos: 405
5	3500501	Águas de Lindóia	1078	População de 6 a 10 anos: 1.078
6	3500600	Águas de São Pedro	130	População de 6 a 10 anos: 130
7	3500709	Agudos	2341	População de 6 a 10 anos: 2.341
8	3500808	Alfredo Marcondes	189	População de 6 a 10 anos: 189
9	3500907	Altair	273	População de 6 a 10 anos: 273
10	3501004	Altinópolis	892	População de 6 a 10 anos: 892
11	3501103	Alto Alegre	210	População de 6 a 10 anos: 210
12	3501202	Álvares Florence	155	População de 6 a 10 anos: 155
13	3501301	Álvares Machado	1403	População de 6 a 10 anos: 1.403
14	3501400	Álvaro de Carvalho	266	População de 6 a 10 anos: 266
15	3501509	Alvinlândia	222	População de 6 a 10 anos: 222
16	3501608	Americana	12444	População de 6 a 10 anos: 12.444
17	3501707	Américo Brasiliense	2667	População de 6 a 10 anos: 2.667
18	3501806	Américo de Campos	297	População de 6 a 10 anos: 297
19	3501905	Amparo	3710	População de 6 a 10 anos: 3.710
20	3502002	Analândia	300	População de 6 a 10 anos: 300
21	3502101	Andradina	3169	População de 6 a 10 anos: 3.169
22	3502200	Angatuba	1573	População de 6 a 10 anos: 1.573
23	3502309	Anhembi	441	População de 6 a 10 anos: 441
24	3502408	Anhumas	229	População de 6 a 10 anos: 229
25	3502507	Aparecida	2229	População de 6 a 10 anos: 2.229
26	3502606	Aparecida d'Oeste	210	População de 6 a 10 anos: 210
27	3502705	Apiaí	1728	População de 6 a 10 anos: 1.728
28	3502804	Araçatuba	10464	População de 6 a 10 anos: 10.464
29	3502903	Araçoiaba da Serra	1949	População de 6 a 10 anos: 1.949
30	3503000	Aramina	308	População de 6 a 10 anos: 308
31	3503109	Arandu	382	População de 6 a 10 anos: 382
32	3503208	Araraquara	12221	População de 6 a 10 anos: 12.221
33	3503307	Araras	7283	População de 6 a 10 anos: 7.283
34	3503406	Arealva	441	População de 6 a 10 anos: 441
35	3503505	Areias	268	População de 6 a 10 anos: 268
36	3503604	Areiópolis	773	População de 6 a 10 anos: 773
37	3503703	Ariranha	559	População de 6 a 10 anos: 559
38	3503802	Artur Nogueira	3215	População de 6 a 10 anos: 3.215
39	3503901	Arujá	5888	População de 6 a 10 anos: 5.888
40	3504008	Assis	5776	População de 6 a 10 anos: 5.776
41	3504107	Atibaia	8564	População de 6 a 10 anos: 8.564
