NM_MUNICIP	ID	CD_GEOCODM
ADAMANTINA	1727	3500105
ADOLFO	1728	3500204
AGUAÍ	1729	3500303
ÁGUAS DA PRATA	1730	3500402
ÁGUAS DE LINDÓIA	1731	3500501
ÁGUAS DE SANTA BÁRBARA	1732	3500550
ÁGUAS DE SÃO PEDRO	1733	3500600
AGUDOS	1734	3500709
ALAMBARI	1735	3500758
ALFREDO MARCONDES	1736	3500808
ALTAIR	1737	3500907
ALTINÓPOLIS	1738	3501004
ALTO ALEGRE	1739	3501103
ALUMÍNIO	1740	3501152
ÁLVARES FLORENCE	1741	3501202
ÁLVARES MACHADO	1742	3501301
ÁLVARO DE CARVALHO	1743	3501400
ALVINLÂNDIA	1744	3501509
AMERICANA	1745	3501608
AMÉRICO BRASILIENSE	1746	3501707
AMÉRICO DE CAMPOS	1747	3501806
AMPARO	1748	3501905
ANALÂNDIA	1749	3502002
ANDRADINA	1750	3502101
ANGATUBA	1751	3502200
ANHEMBI	1752	3502309
ANHUMAS	1753	3502408
APARECIDA	1754	3502507
APARECIDA D'OESTE	1755	3502606
APIAÍ	1756	3502705
ARAÇARIGUAMA	1757	3502754
ARAÇATUBA	1758	3502804
ARAÇOIABA DA SERRA	1759	3502903
ARAMINA	1760	3503000
ARANDU	1761	3503109
ARAPEÍ	1762	3503158
ARARAQUARA	1763	3503208
ARARAS	1764	3503307
ARCO-ÍRIS	1765	3503356
AREALVA	1766	3503406
AREIAS	1767	3503505
AREIÓPOLIS	1768	3503604
ARIRANHA	1769	3503703
ARTUR NOGUEIRA	1770	3503802
ARUJÁ	1771	3503901
ASPÁSIA	1772	3503950
ASSIS	1773	3504008
ATIBAIA	1774	3504107
AURIFLAMA	1775	3504206
AVAÍ	1776	3504305
AVANHANDAVA	1777	3504404
AVARÉ	1778	3504503
BADY BASSITT	1779	3504602
BALBINOS	1780	3504701
BÁLSAMO	1781	3504800
BANANAL	1782	3504909
BARÃO DE ANTONINA	1783	3505005
BARBOSA	1784	3505104
BARIRI	1785	3505203
BARRA BONITA	1786	3505302
BARRA DO CHAPÉU	1787	3505351
BARRA DO TURVO	1788	3505401
BARRETOS	1789	3505500
BARRINHA	1790	3505609
BARUERI	1791	3505708
BASTOS	1792	3505807
BATATAIS	1793	3505906
BAURU	1794	3506003
BEBEDOURO	1795	3506102
BENTO DE ABREU	1796	3506201
BERNARDINO DE CAMPOS	1797	3506300
BERTIOGA	1798	3506359
BILAC	1799	3506409
BIRIGUI	1800	3506508
BIRITIBA-MIRIM	1801	3506607
BOA ESPERANÇA DO SUL	1802	3506706
BOCAINA	1803	3506805
BOFETE	1804	3506904
BOITUVA	1805	3507001
BOM JESUS DOS PERDÕES	1806	3507100
BOM SUCESSO DE ITARARÉ	1807	3507159
BORÁ	1808	3507209
BORACÉIA	1809	3507308
BORBOREMA	1810	3507407
BOREBI	1811	3507456
BOTUCATU	1812	3507506
BRAGANÇA PAULISTA	1813	3507605
BRAÚNA	1814	3507704
BREJO ALEGRE	1815	3507753
BRODOWSKI	1816	3507803
BROTAS	1817	3507902
BURI	1818	3508009
BURITAMA	1819	3508108
BURITIZAL	1820	3508207
CABRÁLIA PAULISTA	1821	3508306
CABREÚVA	1822	3508405
CAÇAPAVA	1823	3508504
CACHOEIRA PAULISTA	1824	3508603
CACONDE	1825	3508702
CAFELÂNDIA	1826	3508801
CAIABU	1827	3508900
CAIEIRAS	1828	3509007
CAIUÁ	1829	3509106
CAJAMAR	1830	3509205
CAJATI	1831	3509254
CAJOBI	1832	3509304
CAJURU	1833	3509403
CAMPINA DO MONTE ALEGRE	1834	3509452
CAMPINAS	1835	3509502
CAMPO LIMPO PAULISTA	1836	3509601
CAMPOS DO JORDÃO	1837	3509700
CAMPOS NOVOS PAULISTA	1838	3509809
CANANÉIA	1839	3509908
CANAS	1840	3509957
CÂNDIDO MOTA	1841	3510005
CÂNDIDO RODRIGUES	1842	3510104
CANITAR	1843	3510153
CAPÃO BONITO	1844	3510203
CAPELA DO ALTO	1845	3510302
CAPIVARI	1846	3510401
CARAGUATATUBA	1847	3510500
CARAPICUÍBA	1848	3510609
CARDOSO	1849	3510708
CASA BRANCA	1850	3510807
