   Município;Região Administrativa;Região de Governo;Região Metropolitana;


"Região Administrativa de Registro";


"Região de Governo de Registro";

"Barra do Turvo";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Cajati";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Cananéia";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Eldorado";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Iguape";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Ilha Comprida";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Itariri";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Jacupiranga";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Juquiá";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Miracatu";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Pariquera-Açu";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Pedro de Toledo";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Registro";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Sete Barras";"Região Administrativa de Registro";"Região de Governo de Registro";"-";

"Região Administrativa de Santos";


"Região de Governo de Santos";

"Bertioga";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Cubatão";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Guarujá";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Itanhaém";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Mongaguá";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Peruíbe";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Praia Grande";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Santos";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"São Vicente";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";

"Região Administrativa de São José dos Campos";


"Região de Governo de Caraguatatuba";

"Caraguatatuba";"Região Administrativa de São José dos Campos";"Região de Governo de Caraguatatuba";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Ilhabela";"Região Administrativa de São José dos Campos";"Região de Governo de Caraguatatuba";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"São Sebastião";"Região Administrativa de São José dos Campos";"Região de Governo de Caraguatatuba";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Ubatuba";"Região Administrativa de São José dos Campos";"Região de Governo de Caraguatatuba";"Região Metropolitana do Vale do Paraíba e Litoral Norte";

"Região de Governo de Cruzeiro";

"Arapeí";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Areias";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
