   Município;Região Administrativa;Região de Governo;Região Metropolitana;

"Adamantina";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Adolfo";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Aguaí";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Águas da Prata";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Águas de Lindóia";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Águas de Santa Bárbara";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Águas de São Pedro";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Agudos";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Alambari";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Alfredo Marcondes";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Altair";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Altinópolis";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Alto Alegre";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Alumínio";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Álvares Florence";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Álvares Machado";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Álvaro de Carvalho";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Alvinlândia";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Americana";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Américo Brasiliense";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Américo de Campos";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Amparo";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Analândia";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Andradina";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Angatuba";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Anhembi";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Anhumas";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Aparecida";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Aparecida d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Apiaí";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Araçariguama";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Araçatuba";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Araçoiaba da Serra";"Região Administrativa de Sorocaba";"Região de Governo de Sorocaba";"-";
"Aramina";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Arandu";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Arapeí";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Araraquara";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Araras";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Arco Íris";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Arealva";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Areias";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Areiópolis";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Ariranha";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Artur Nogueira";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Arujá";"-";"-";"Região Metropolitana de São Paulo";
"Aspásia";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Assis";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Atibaia";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Auriflama";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Avaí";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Avanhandava";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Avaré";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Bady Bassitt";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Balbinos";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Bálsamo";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Bananal";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Barão de Antonina";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Barbosa";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Bariri";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Barra Bonita";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Barra do Chapéu";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Barra do Turvo";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Barretos";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Barrinha";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Barueri";"-";"-";"Região Metropolitana de São Paulo";
"Bastos";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Batatais";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Bauru";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Bebedouro";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Bento de Abreu";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Bernardino de Campos";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Bertioga";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Bilac";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Birigui";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Biritiba Mirim";"-";"-";"Região Metropolitana de São Paulo";
"Boa Esperança do Sul";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Bocaina";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Bofete";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Boituva";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Bom Jesus dos Perdões";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Bom Sucesso de Itararé";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Borá";"Região Administrativa de Marília";"Região de Governo de Tupã";"-";
"Boracéia";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Borborema";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Borebi";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Botucatu";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Bragança Paulista";"Região Administrativa de Campinas";"Região de Governo de Bragança Paulista";"-";
"Braúna";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Brejo Alegre";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Brodowski";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Brotas";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Buri";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Buritama";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Buritizal";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Cabrália Paulista";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Cabreúva";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Caçapava";"Região Administrativa de São José dos Campos";"Região de Governo de São José dos Campos";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cachoeira Paulista";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Caconde";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Cafelândia";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Caiabu";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Caieiras";"-";"-";"Região Metropolitana de São Paulo";
"Caiuá";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Cajamar";"-";"-";"Região Metropolitana de São Paulo";
"Cajati";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Cajobi";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Cajuru";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Campina do Monte Alegre";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Campinas";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Campo Limpo Paulista";"Região Administrativa de Campinas";"Região de Governo de Jundiaí";"-";
"Campos do Jordão";"Região Administrativa de São José dos Campos";"Região de Governo de Taubaté";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Campos Novos Paulista";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Cananéia";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Canas";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cândido Mota";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Cândido Rodrigues";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Canitar";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Capão Bonito";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Capela do Alto";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Capivari";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Caraguatatuba";"Região Administrativa de São José dos Campos";"Região de Governo de Caraguatatuba";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Carapicuíba";"-";"-";"Região Metropolitana de São Paulo";
"Cardoso";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Casa Branca";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Cássia dos Coqueiros";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Castilho";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Catanduva";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Catiguá";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Cedral";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Cerqueira César";"Região Administrativa de Sorocaba";"Região de Governo de Avaré";"-";
"Cerquilho";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Cesário Lange";"Região Administrativa de Sorocaba";"Região de Governo de Itapetininga";"-";
"Charqueada";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Chavantes";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Clementina";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Colina";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Colômbia";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Conchal";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Conchas";"Região Administrativa de Sorocaba";"Região de Governo de Botucatu";"-";
"Cordeirópolis";"Região Administrativa de Campinas";"Região de Governo de Limeira";"-";
"Coroados";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Coronel Macedo";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Corumbataí";"Região Administrativa de Campinas";"Região de Governo de Rio Claro";"-";
"Cosmópolis";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Cosmorama";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Cotia";"-";"-";"Região Metropolitana de São Paulo";
"Cravinhos";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Cristais Paulista";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Cruzália";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Cruzeiro";"Região Administrativa de São José dos Campos";"Região de Governo de Cruzeiro";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Cubatão";"Região Administrativa de Santos";"Região de Governo de Santos";"Região Metropolitana da Baixada Santista";
"Cunha";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
"Descalvado";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Diadema";"-";"-";"Região Metropolitana de São Paulo";
"Dirce Reis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Divinolândia";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Dobrada";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Dois Córregos";"Região Administrativa de Bauru";"Região de Governo de Jaú";"-";
"Dolcinópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Jales";"-";
"Dourado";"Região Administrativa Central";"Região de Governo de São Carlos";"-";
"Dracena";"Região Administrativa de Presidente Prudente";"Região de Governo de Dracena";"-";
"Duartina";"Região Administrativa de Bauru";"Região de Governo de Bauru";"-";
"Dumont";"Região Administrativa de Ribeirão Preto";"Região de Governo de Ribeirão Preto";"-";
"Echaporã";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Eldorado";"Região Administrativa de Registro";"Região de Governo de Registro";"-";
"Elias Fausto";"Região Administrativa de Campinas";"Região de Governo de Piracicaba";"-";
"Elisiário";"Região Administrativa de São José do Rio Preto";"Região de Governo de Catanduva";"-";
"Embaúba";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Embu das Artes";"-";"-";"Região Metropolitana de São Paulo";
"Embu-Guaçu";"-";"-";"Região Metropolitana de São Paulo";
"Emilianópolis";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Engenheiro Coelho";"Região Administrativa de Campinas";"Região de Governo de Campinas";"Região Metropolitana de Campinas";
"Espírito Santo do Pinhal";"Região Administrativa de Campinas";"Região de Governo de São João da Boa Vista";"-";
"Espírito Santo do Turvo";"Região Administrativa de Marília";"Região de Governo de Ourinhos";"-";
"Estiva Gerbi";"Região Administrativa de Campinas";"Região de Governo de Campinas";"-";
"Estrela d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Estrela do Norte";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Euclides da Cunha Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Presidente Prudente";"-";
"Fartura";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Fernando Prestes";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"Fernandópolis";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Fernão";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Ferraz de Vasconcelos";"-";"-";"Região Metropolitana de São Paulo";
"Flora Rica";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Floreal";"Região Administrativa de São José do Rio Preto";"Região de Governo de Votuporanga";"-";
"Flórida Paulista";"Região Administrativa de Presidente Prudente";"Região de Governo de Adamantina";"-";
"Florínia";"Região Administrativa de Marília";"Região de Governo de Assis";"-";
"Franca";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Francisco Morato";"-";"-";"Região Metropolitana de São Paulo";
"Franco da Rocha";"-";"-";"Região Metropolitana de São Paulo";
"Gabriel Monteiro";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Gália";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Garça";"Região Administrativa de Marília";"Região de Governo de Marília";"-";
"Gastão Vidigal";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Gavião Peixoto";"Região Administrativa Central";"Região de Governo de Araraquara";"-";
"General Salgado";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Getulina";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Glicério";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Guaiçara";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guaimbê";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guaíra";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Guapiaçu";"Região Administrativa de São José do Rio Preto";"Região de Governo de São José do Rio Preto";"-";
"Guapiara";"Região Administrativa de Itapeva";"Região de Governo de Itapeva";"-";
"Guará";"Região Administrativa de Franca";"Região de Governo de Franca";"-";
"Guaraçaí";"Região Administrativa de Araçatuba";"Região de Governo de Andradina";"-";
"Guaraci";"Região Administrativa de Barretos";"Região de Governo de Barretos";"-";
"Guarani d'Oeste";"Região Administrativa de São José do Rio Preto";"Região de Governo de Fernandópolis";"-";
"Guarantã";"Região Administrativa de Bauru";"Região de Governo de Lins";"-";
"Guararapes";"Região Administrativa de Araçatuba";"Região de Governo de Araçatuba";"-";
"Guararema";"-";"-";"Região Metropolitana de São Paulo";
"Guaratinguetá";"Região Administrativa de São José dos Campos";"Região de Governo de Guaratinguetá";"Região Metropolitana do Vale do Paraíba e Litoral Norte";
